Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Care & Instructions (product.metafields.my_fields.care_instructions),Color (product.metafields.my_fields.color),Dimensions (product.metafields.my_fields.dimensions),EMI From (product.metafields.my_fields.emi_from),Estimate shipping time (product.metafields.my_fields.estimate_shipping_time),Free Delivery (product.metafields.my_fields.free_delivery),Marchant Details (product.metafields.my_fields.marchant_details),Material (product.metafields.my_fields.material),Product Subtitle (product.metafields.my_fields.product_subtitle),related 1 (product.metafields.my_fields.related_1),related 2 (product.metafields.my_fields.related_2),related 3 (product.metafields.my_fields.related_3),related 4 (product.metafields.my_fields.related_4),Short Description (product.metafields.my_fields.short_description),Soldout message (product.metafields.my_fields.soldout_message),Style (product.metafields.my_fields.style),Weight (product.metafields.my_fields.weight),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Furniture/Fixture features (product.metafields.shopify.furniture-fixture-features),Furniture/Fixture material (product.metafields.shopify.furniture-fixture-material),Leg material (product.metafields.shopify.leg-material),Material (product.metafields.shopify.material),Mount/Stand features (product.metafields.shopify.mount-stand-features),Mounting type (product.metafields.shopify.mounting-type),Suitable location (product.metafields.shopify.suitable-location),Tabletop color (product.metafields.shopify.tabletop-color),Tabletop material (product.metafields.shopify.tabletop-material),Tabletop shape (product.metafields.shopify.tabletop-shape),Top color (product.metafields.shopify.top-color),Top material (product.metafields.shopify.top-material),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
novebuk-engineered-wood-bookshelf-cabinet-book-rack-organizer-book-case-with-shelves-for-decor-display-wall-mount-floor-standing-for-home-library-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/SB-NBK-MF_3.jpg?v=1765367135,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novebuk-engineered-wood-bookshelf-cabinet-book-rack-organizer-book-case-with-shelves-for-decor-display-wall-mount-floor-standing-for-home-library-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/Novebuk.6.png?v=1765367169,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novebuk-engineered-wood-bookshelf-cabinet-book-rack-organizer-book-case-with-shelves-for-decor-display-wall-mount-floor-standing-for-home-library-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/SB-NBK-MF_4.jpg?v=1765367135,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novebuk-engineered-wood-bookshelf-cabinet-book-rack-organizer-book-case-with-shelves-for-decor-display-wall-mount-floor-standing-for-home-library-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/SB-NBK-MF_5.jpg?v=1765367135,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novebuk-engineered-wood-bookshelf-cabinet-book-rack-organizer-book-case-with-shelves-for-decor-display-wall-mount-floor-standing-for-home-library-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/SB-NBK-MF_6.jpg?v=1765367135,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novebuk-engineered-wood-bookshelf-cabinet-book-rack-organizer-book-case-with-shelves-for-decor-display-wall-mount-floor-standing-for-home-library-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/SB-NBK-MF_7.jpg?v=1765367135,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,Mannsae Plus Engineered Wood TV Entertainment Unit Set Top Box Stand/TV Cabinet with Shelves for Books & Décor Display Unit Bed Living Room Upto 65 Inches - DIY (Brown Maple & White),"<ul class=""a-unordered-list a-vertical a-spacing-mini"">
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Product Dimensions: Length ( 160 Cm or 63 Inches) Breadth ( 30 Cm or 14.2 Inches) Height ( 126 Cm or 49.6 Inches)</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Made of Particle Board (High grade prelam engineering wood with natural wood grain finish)</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Color - Brown Maple &amp; White, TV Size - Upto 65 Inches, Multi-Functional Storage, Elegant contemporary design with premium dual-tone finish</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Assembly Required - DIY (Do-It-Yourself) Installation, It means you'll have to install it yourself or arrange a carpenter to install it for you. It comes with the necessary hardware including a detailed installation guide.</span></p>
</li>
<li class=""a-spacing-mini"">
<p><span class=""a-list-item"">Warranty : 2 years warranty on manufacturing defects.</span></p>
</li>
</ul>",Bluewud,Furniture > Entertainment Centers & TV Stands,TV Unit,#c0432a__label:New,true,Title,Default Title,,,,,,,,TU-MSEP-MF,0.0,shopify,deny,manual,6599.00,11899.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/1808/6469/files/TU-MSEP-MF_1.jpg?v=1764757276,1,"",false,,,,,,,,,,,,,,,,Brown Maple and White,,,,Ships in 8-12 Days,,Engineered Wood,,,,,,,,Contemporary,,,,,,,,,,,,,,,,,kg,,,active
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-MSEP-MF_2.jpg?v=1764757276,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-MSEP-MF_4.jpg?v=1764757276,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/Dimplus.jpg?v=1764757314,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-MSEP-MF_5.jpg?v=1764757276,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-MSEP-MF_6.jpg?v=1764757276,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-MSEP-MF_7.jpg?v=1764757276,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-MSEP-MF_8.jpg?v=1764757276,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mannsae-plus-engineered-wood-tv-entertainment-unit-set-top-box-stand-tv-cabinet-with-shelves-for-books-decor-display-unit-bed-living-room-upto-65-inches-diy-brown-maple-white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1808/6469/files/TU-MSEP-MF_3.jpg?v=1764757276,9,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
